Modèle,Accuracy,F1-Score,Precision,Recall,Temps Train (s),Temps Inférence (s)
Decision Tree,0.9994598973805023,0.9994598973805023,0.9994598973805023,0.9994598973805023,3.572383165359497,0.0010056495666503906
Random Forest,0.9994598973805023,0.9993982552337118,0.9994828804706937,0.9994598973805023,9.805840730667114,0.009999752044677734
KNN,0.9978395895220091,0.9977749909765637,0.9977891113290909,0.9978395895220091,5.301151990890503,2.080552816390991
Gradient Boosting,0.9997299486902511,0.9997164296381147,0.999735819370898,0.9997299486902511,57.65596318244934,0.004006147384643555
